Site,Probe Model,Serial Number,Date,Time,Hole ID,Cable length (ft),Neutron Count (MD),Gamma Count (WD),Operator,Duration (s),Flag
Rivendell,503,H340702152,10/10/2010,,15,22,4108,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,23,3817,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,24,3951,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,25,3891,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,26,4121,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,27,4128,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,28,4128,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,29,4115,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,30,4206,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,31,3963,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,32,4346,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,33,4125,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,34,4238,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,35,3890,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,36,3777,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,37,3887,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,38,3862,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,39,3935,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,40,3985,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,41,3945,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,42,3832,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,43,3838,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,44,3938,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,45,3762,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,46,4125,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,47,4045,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,48,3998,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,49,4053,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,50,4280,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,51,4074,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,52,3961,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,53,4023,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,54,3746,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,55,4155,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,56,4453,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,57,4231,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,58,3950,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,59,3913,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,60,4004,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,61,4153,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,62,3878,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,63,3826,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,64,4186,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,65,4192,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,66,4305,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,67,4201,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,68,4454,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,69,4327,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,70,4277,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,71,4203,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,72,4043,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,73,3854,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,74,3910,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,75,3821,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,76,3945,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,77,3684,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,78,3477,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,79,3397,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,80,3334,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,81,7190,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,82,15282,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,83,15466,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,84,15362,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,85,15102,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,86,14849,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,87,14648,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,88,14681,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,89,14679,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,90,14815,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,91,15844,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,92,14551,,2,25,4
Rivendell,503,H340702152,10/10/2010,,15,93,14903,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,3,5073,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,4,4734,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,5,4931,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,6,5112,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,7,4972,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,8,5212,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,9,5228,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,10,5457,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,11,5406,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,12,5292,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,13,5246,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,14,5489,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,15,5582,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,16,5952,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,17,6015,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,18,5968,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,19,5931,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,20,6344,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,21,6268,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,22,6122,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,23,6187,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,24,6179,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,25,5975,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,26,6089,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,27,5906,,2,25,4
Rivendell,503,H340702152,10/10/2010,,2,28,6173,,2,25,4
